ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1,1-9317943927,MANIPUR INSTITUTE OF TECHNOLOGY,Manipur,IMPHAL WEST,Government,ENGINEERING AND TECHNOLOGY,"Manipur University, Imphal",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
2,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,120
3,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,120
4,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
5,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
6,1-9317971751,GIRIJANANDA CHOWDHURY INSTITUTE OF PHARMACEUTICAL SCIENCE,Assam,KAMRUP,Private-Self Financing,PHARMACY,"Assam Science and Technology University, Guwahati",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
7,1-9317948889,GURU NANAK INSTITUTE OF PHARMACEUTICAL SCIENCE TECHNOLOGY,West Bengal,KOLKATA,Private-Self Financing,PHARMACY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
8,1-9317987869,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI,Uttar Pradesh,JHANSI,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,30
9,1-9317987869,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI,Uttar Pradesh,JHANSI,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,45
10,1-9317993164,INDIRA SCHOOL OF BUSINESS STUDIES,Maharashtra,PUNE,Private-Self Financing,MANAGEMENT,"University of Pune, Pune",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,120
